         3032499 function calls (3027683 primitive calls) in 2.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      110    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:792(_code_to_timestamp_pyc)
      246    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:255(match)
      131    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:175(append)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:312(ismethoddescriptor)
      302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      217    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:159(__getitem__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
        8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/re/_compiler.py:743(compile)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:514(_compile_info)
      227    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      168    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:163(__len__)
       30    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/_distutils_hack/__init__.py:101(find_spec)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      109    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     14/1    0.000    0.000    0.127    0.127 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.000    0.000    0.125    0.125 /app/.venv/lib/python3.13/site-packages/pyarrow/dataset.py:1(<module>)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:543(isbuiltin)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       47    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1774(_parse_hextet)
        8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/re/_parser.py:970(parse)
        8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/re/_compiler.py:576(_code)
       56    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:156(_split_optional_netmask)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       52    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
      118    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:292(tell)
       31    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1286(__init__)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1641(_make_netmask)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
